checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted
>200DM,15,Critical_acct_other_credits_existing,used_car,2360,500_to_1000DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,36,60,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,15,All_credits_paid_duly,new_car,6850,100_to_500DM,unemployed,1,male_single,None,2,building_society_savings_agreement/life_insurance,34,88,none,own,1,management_self-employed_highly_qualified/officer,2,yes,yes,1
None,24,Existing_credits_paid_till_now,radio/television,1413,<100DM,1_to_4yrs,4,male_married/widowed,None,2,building_society_savings_agreement/life_insurance,28,220,none,own,1,skilled_employee/official,1,none,yes,0
None,39,Existing_credits_paid_till_now,used_car,8588,100_to_500DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,45,33,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
<0DM,12,Existing_credits_paid_till_now,new_car,759,<100DM,4_to_7yrs,4,male_single,None,2,real_estate,26,280,none,own,1,skilled_employee/official,1,none,yes,1
None,36,Existing_credits_paid_till_now,used_car,4686,<100DM,1_to_4yrs,2,male_single,None,2,unknown/no_property,32,124,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
>200DM,15,Existing_credits_paid_till_now,business,2687,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,26,280,none,rent,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,12,Delay_in_past,radio/television,585,<100DM,1_to_4yrs,4,male_married/widowed,co-applicant,4,real_estate,20,508,none,rent,2,skilled_employee/official,1,none,yes,0
None,24,Existing_credits_paid_till_now,new_car,2255,Unknown_or_no_savings_acct,<1yr,4,male_single,None,1,building_society_savings_agreement/life_insurance,54,168,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,6,Critical_acct_other_credits_existing,new_car,609,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,37,49,none,own,2,skilled_employee/official,1,none,no,0
<0DM,6,Critical_acct_other_credits_existing,new_car,1361,<100DM,<1yr,2,male_single,None,4,real_estate,40,28,none,own,1,unskilled_resident,2,none,no,0
None,36,Critical_acct_other_credits_existing,furniture/equipment,7127,<100DM,<1yr,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23,385,none,rent,2,skilled_employee/official,1,yes,yes,1
<0DM,6,Existing_credits_paid_till_now,new_car,1203,100_to_500DM,>7yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,43,25,none,own,1,skilled_employee/official,1,yes,yes,0
None,6,Critical_acct_other_credits_existing,radio/television,700,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,36,60,none,for_free,2,skilled_employee/official,1,none,yes,0
None,24,Critical_acct_other_credits_existing,repairs,5507,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,44,28,none,for_free,2,skilled_employee/official,1,none,yes,0
<0DM,18,Existing_credits_paid_till_now,radio/television,3190,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,1
<0DM,48,No_credits_taken_or_all_paid,furniture/equipment,7119,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53,145,none,for_free,2,skilled_employee/official,2,none,yes,1
None,24,Existing_credits_paid_till_now,used_car,3488,100_to_500DM,4_to_7yrs,3,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,18,Existing_credits_paid_till_now,radio/television,1113,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,4,real_estate,26,280,none,own,1,unskilled_resident,2,none,yes,0
0_to_200DM,26,Existing_credits_paid_till_now,used_car,7966,<100DM,<1yr,2,male_single,None,3,car_or_other_nonsavings,30,168,none,own,2,skilled_employee/official,1,none,yes,0
None,15,Critical_acct_other_credits_existing,education,1532,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,31,145,none,own,1,skilled_employee/official,1,none,yes,0
None,4,Critical_acct_other_credits_existing,radio/television,1503,<100DM,4_to_7yrs,2,male_single,None,1,real_estate,42,24,none,own,2,unskilled_resident,2,none,yes,0
<0DM,36,Existing_credits_paid_till_now,radio/television,2302,<100DM,1_to_4yrs,4,male_divorced/separated,None,4,car_or_other_nonsavings,31,145,none,rent,1,skilled_employee/official,1,none,yes,1
<0DM,6,Existing_credits_paid_till_now,new_car,662,<100DM,<1yr,3,male_single,None,4,real_estate,41,25,none,own,1,unskilled_resident,2,yes,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,education,2273,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,32,124,none,own,2,skilled_employee/official,2,none,yes,0
0_to_200DM,15,Existing_credits_paid_till_now,new_car,2631,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,220,none,rent,2,skilled_employee/official,1,yes,yes,1
None,12,Delay_in_past,used_car,1503,<100DM,1_to_4yrs,4,male_married/widowed,None,4,real_estate,41,25,none,rent,1,skilled_employee/official,1,none,yes,0
None,24,Existing_credits_paid_till_now,radio/television,1311,100_to_500DM,4_to_7yrs,4,male_married/widowed,None,3,building_society_savings_agreement/life_insurance,26,280,none,own,1,skilled_employee/official,1,yes,yes,0
None,24,Existing_credits_paid_till_now,radio/television,3105,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,car_or_other_nonsavings,25,313,none,own,2,skilled_employee/official,1,none,yes,0
>200DM,21,Critical_acct_other_credits_existing,education,2319,<100DM,<1yr,2,male_divorced/separated,None,1,car_or_other_nonsavings,33,105,none,rent,1,skilled_employee/official,1,none,yes,1
<0DM,6,Existing_credits_paid_till_now,new_car,1374,Unknown_or_no_savings_acct,unemployed,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,75,1113,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,3612,<100DM,>7yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,37,49,none,own,1,skilled_employee/official,1,yes,yes,0
<0DM,48,Existing_credits_paid_till_now,new_car,7763,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,42,24,bank,for_free,1,management_self-employed_highly_qualified/officer,1,none,yes,1
>200DM,18,Existing_credits_paid_till_now,furniture/equipment,3049,<100DM,<1yr,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,45,33,stores,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1534,<100DM,<1yr,1,male_married/widowed,None,1,real_estate,23,385,none,rent,1,skilled_employee/official,1,none,yes,1
None,24,Delay_in_past,new_car,2032,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,60,348,none,for_free,2,skilled_employee/official,1,yes,yes,0
<0DM,30,Existing_credits_paid_till_now,furniture/equipment,6350,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,31,145,none,own,1,skilled_employee/official,1,none,yes,1
>200DM,18,Existing_credits_paid_till_now,furniture/equipment,2864,<100DM,1_to_4yrs,2,male_single,None,1,real_estate,34,88,none,own,1,unskilled_resident,2,none,yes,1
None,12,Critical_acct_other_credits_existing,new_car,1255,<100DM,>7yrs,4,male_single,None,4,real_estate,61,385,none,own,2,unskilled_resident,1,none,yes,0
<0DM,24,Delay_in_past,new_car,1333,<100DM,unemployed,4,male_single,None,2,real_estate,43,25,none,for_free,2,skilled_employee/official,2,none,yes,1
None,24,Critical_acct_other_credits_existing,new_car,2022,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,37,49,none,own,1,skilled_employee/official,1,yes,yes,0
None,24,Existing_credits_paid_till_now,radio/television,1552,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,32,124,bank,own,1,skilled_employee/official,2,none,yes,0
<0DM,12,All_credits_paid_duly,radio/television,626,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,real_estate,24,348,bank,own,1,unskilled_resident,1,none,yes,1
None,48,Critical_acct_other_credits_existing,used_car,8858,Unknown_or_no_savings_acct,4_to_7yrs,2,male_single,None,1,unknown/no_property,35,73,none,for_free,2,skilled_employee/official,1,yes,yes,0
None,12,Critical_acct_other_credits_existing,repairs,996,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,4,real_estate,23,385,none,own,2,skilled_employee/official,1,none,yes,0
None,6,All_credits_paid_duly,radio/television,1750,500_to_1000DM,>7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,45,33,bank,own,1,unskilled_resident,2,none,yes,0
<0DM,48,Existing_credits_paid_till_now,radio/television,6999,<100DM,4_to_7yrs,1,male_married/widowed,guarantor,1,real_estate,34,88,none,own,2,skilled_employee/official,1,yes,yes,1
0_to_200DM,12,Critical_acct_other_credits_existing,new_car,1995,100_to_500DM,<1yr,4,male_single,None,1,car_or_other_nonsavings,27,249,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,9,Existing_credits_paid_till_now,education,1199,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,67,649,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1331,<100DM,<1yr,2,male_single,None,1,car_or_other_nonsavings,22,424,stores,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,18,No_credits_taken_or_all_paid,new_car,2278,100_to_500DM,<1yr,3,female_divorced/separated/married,None,3,car_or_other_nonsavings,28,220,none,own,2,skilled_employee/official,1,none,yes,1
None,21,No_credits_taken_or_all_paid,new_car,5003,Unknown_or_no_savings_acct,1_to_4yrs,1,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,29,193,bank,own,2,skilled_employee/official,1,yes,yes,1
<0DM,24,All_credits_paid_duly,furniture/equipment,3552,<100DM,4_to_7yrs,3,male_single,None,4,car_or_other_nonsavings,27,249,bank,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,1928,<100DM,<1yr,2,male_single,None,2,real_estate,31,145,none,own,2,unskilled_resident,1,none,yes,1
<0DM,24,Existing_credits_paid_till_now,used_car,2964,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,49,73,bank,for_free,1,skilled_employee/official,2,yes,yes,0
<0DM,24,All_credits_paid_duly,radio/television,1546,<100DM,4_to_7yrs,4,male_single,guarantor,4,car_or_other_nonsavings,24,348,bank,rent,1,unskilled_resident,1,none,yes,1
>200DM,6,Delay_in_past,radio/television,683,<100DM,<1yr,2,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,29,193,bank,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,new_car,12389,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,None,4,unknown/no_property,37,49,none,for_free,1,skilled_employee/official,1,yes,yes,1
0_to_200DM,24,Delay_in_past,business,4712,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,37,49,bank,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,24,Delay_in_past,radio/television,1553,100_to_500DM,4_to_7yrs,3,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,385,none,rent,2,skilled_employee/official,1,yes,yes,0
<0DM,12,Existing_credits_paid_till_now,new_car,1372,<100DM,4_to_7yrs,2,male_divorced/separated,None,3,car_or_other_nonsavings,NA,NA,none,own,1,skilled_employee/official,1,none,yes,1
None,24,Critical_acct_other_credits_existing,radio/television,2578,>1000DM,>7yrs,2,male_single,None,2,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,48,Existing_credits_paid_till_now,radio/television,3979,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,1,car_or_other_nonsavings,41,25,none,own,2,skilled_employee/official,2,yes,yes,0
<0DM,48,Existing_credits_paid_till_now,radio/television,6758,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,NA,NA,none,own,1,skilled_employee/official,1,yes,yes,1
<0DM,24,Existing_credits_paid_till_now,furniture/equipment,3234,<100DM,<1yr,4,female_divorced/separated/married,None,4,real_estate,23,385,none,rent,1,unskilled_resident,1,yes,yes,1
None,30,Critical_acct_other_credits_existing,radio/television,5954,<100DM,4_to_7yrs,3,male_single,co-applicant,2,car_or_other_nonsavings,38,40,none,own,1,skilled_employee/official,1,none,yes,0
None,24,Existing_credits_paid_till_now,used_car,5433,Unknown_or_no_savings_acct,unemployed,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,26,280,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
<0DM,15,Existing_credits_paid_till_now,business,806,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,22,424,none,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,9,Existing_credits_paid_till_now,radio/television,1082,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,27,249,none,own,2,unskilled_resident,1,none,yes,0
None,15,Critical_acct_other_credits_existing,furniture/equipment,2788,<100DM,4_to_7yrs,2,female_divorced/separated/married,co-applicant,3,car_or_other_nonsavings,24,348,bank,own,2,skilled_employee/official,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,2930,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,27,249,none,own,1,skilled_employee/official,1,none,yes,0
None,24,Critical_acct_other_credits_existing,education,1927,Unknown_or_no_savings_acct,1_to_4yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,33,105,none,own,2,skilled_employee/official,1,yes,yes,0
0_to_200DM,36,Critical_acct_other_credits_existing,new_car,2820,<100DM,<1yr,4,male_divorced/separated,None,4,car_or_other_nonsavings,27,249,none,own,2,skilled_employee/official,1,none,yes,1
None,24,Existing_credits_paid_till_now,retraining,937,<100DM,<1yr,4,male_married/widowed,None,3,car_or_other_nonsavings,27,249,none,own,2,unskilled_resident,1,none,yes,0
0_to_200DM,18,Critical_acct_other_credits_existing,new_car,1056,<100DM,>7yrs,3,male_single,guarantor,3,real_estate,30,168,bank,own,2,skilled_employee/official,1,none,yes,1
0_to_200DM,12,Critical_acct_other_credits_existing,new_car,3124,<100DM,<1yr,1,male_single,None,3,real_estate,49,73,bank,own,2,unskilled_resident,2,none,yes,0
None,9,Existing_credits_paid_till_now,furniture/equipment,1388,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,NA,NA,none,rent,1,skilled_employee/official,1,none,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,repairs,2384,<100DM,<1yr,4,male_single,None,1,unknown/no_property,33,105,none,rent,1,unskilled_resident,1,none,yes,1
None,12,Existing_credits_paid_till_now,new_car,2133,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,52,124,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
<0DM,18,Existing_credits_paid_till_now,furniture/equipment,2039,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,4,real_estate,20,508,bank,rent,1,skilled_employee/official,1,none,yes,1
<0DM,9,Critical_acct_other_credits_existing,new_car,2799,<100DM,1_to_4yrs,2,male_single,None,2,real_estate,NA,NA,none,rent,2,skilled_employee/official,2,none,yes,0
<0DM,12,Existing_credits_paid_till_now,furniture/equipment,1289,<100DM,1_to_4yrs,4,male_single,guarantor,1,building_society_savings_agreement/life_insurance,21,465,none,own,1,unskilled_resident,1,none,yes,0
<0DM,18,Existing_credits_paid_till_now,domestic_appliances,1217,<100DM,1_to_4yrs,4,male_married/widowed,None,3,real_estate,47,49,none,own,1,unskilled_resident,1,yes,yes,1
<0DM,12,Critical_acct_other_credits_existing,furniture/equipment,2246,<100DM,>7yrs,3,male_single,None,3,building_society_savings_agreement/life_insurance,60,348,none,own,2,skilled_employee/official,1,none,yes,1
<0DM,12,Critical_acct_other_credits_existing,radio/television,385,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,3,real_estate,58,280,none,own,4,unskilled_resident,1,yes,yes,0
0_to_200DM,24,Delay_in_past,new_car,1965,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,42,24,none,rent,2,skilled_employee/official,1,yes,yes,0
None,21,Existing_credits_paid_till_now,business,1572,>1000DM,>7yrs,4,female_divorced/separated/married,None,4,real_estate,36,60,bank,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,24,Existing_credits_paid_till_now,new_car,2718,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,20,508,none,rent,1,unskilled_resident,1,yes,yes,1
<0DM,24,All_credits_paid_duly,other,1358,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,3,car_or_other_nonsavings,40,28,stores,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
0_to_200DM,6,All_credits_paid_duly,new_car,931,100_to_500DM,<1yr,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,32,124,stores,own,1,unskilled_resident,1,none,yes,1
<0DM,24,Existing_credits_paid_till_now,new_car,1442,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,rent,2,skilled_employee/official,1,none,yes,1
0_to_200DM,24,No_credits_taken_or_all_paid,business,4241,<100DM,1_to_4yrs,1,male_single,None,4,real_estate,36,60,none,own,3,unskilled_resident,1,yes,yes,1
None,18,Critical_acct_other_credits_existing,new_car,2775,<100DM,4_to_7yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,31,145,bank,own,2,skilled_employee/official,1,none,yes,1
None,24,Delay_in_past,business,3863,<100DM,1_to_4yrs,1,male_single,None,2,unknown/no_property,32,124,none,for_free,1,skilled_employee/official,1,none,yes,0
0_to_200DM,7,Existing_credits_paid_till_now,radio/television,2329,<100DM,<1yr,1,female_divorced/separated/married,guarantor,1,real_estate,45,33,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,9,Existing_credits_paid_till_now,furniture/equipment,918,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,30,168,none,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,24,All_credits_paid_duly,education,1837,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,34,88,bank,for_free,1,unskilled_resident,1,none,yes,1
None,36,Existing_credits_paid_till_now,furniture/equipment,3349,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,28,220,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
>200DM,10,Existing_credits_paid_till_now,furniture/equipment,1275,<100DM,<1yr,4,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,385,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,24,All_credits_paid_duly,furniture/equipment,2828,500_to_1000DM,1_to_4yrs,4,male_single,None,4,real_estate,22,424,stores,own,1,skilled_employee/official,1,yes,yes,0
None,24,Critical_acct_other_credits_existing,business,4526,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,74,1048,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,radio/television,2671,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,50,88,none,for_free,1,skilled_employee/official,1,none,yes,1
None,18,Existing_credits_paid_till_now,radio/television,2051,<100DM,<1yr,4,male_single,None,1,real_estate,33,105,none,own,1,skilled_employee/official,1,none,yes,0
None,15,Existing_credits_paid_till_now,used_car,1300,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,45,33,bank,for_free,1,skilled_employee/official,2,none,yes,0
<0DM,12,Existing_credits_paid_till_now,domestic_appliances,741,100_to_500DM,unemployed,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,22,424,none,own,1,skilled_employee/official,1,none,yes,1
>200DM,10,Existing_credits_paid_till_now,new_car,1240,100_to_500DM,>7yrs,1,female_divorced/separated/married,None,4,unknown/no_property,48,60,none,for_free,1,unskilled_resident,2,none,yes,1
<0DM,21,Existing_credits_paid_till_now,radio/television,3357,>1000DM,<1yr,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,193,bank,own,1,skilled_employee/official,1,none,yes,0
<0DM,24,All_credits_paid_duly,used_car,3632,<100DM,1_to_4yrs,1,female_divorced/separated/married,guarantor,4,car_or_other_nonsavings,22,424,bank,rent,1,skilled_employee/official,1,none,no,0
None,18,Delay_in_past,furniture/equipment,1808,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,1,real_estate,22,424,none,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,48,No_credits_taken_or_all_paid,business,12204,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,48,60,bank,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,60,Delay_in_past,radio/television,9157,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,unknown/no_property,27,249,none,for_free,1,management_self-employed_highly_qualified/officer,1,none,yes,0
<0DM,6,Critical_acct_other_credits_existing,new_car,3676,<100DM,1_to_4yrs,1,male_single,None,3,real_estate,37,49,none,rent,3,skilled_employee/official,2,none,yes,0
0_to_200DM,30,Existing_credits_paid_till_now,furniture/equipment,3441,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,co-applicant,4,car_or_other_nonsavings,21,465,none,rent,1,skilled_employee/official,1,none,yes,1
None,12,Existing_credits_paid_till_now,new_car,640,<100DM,1_to_4yrs,4,male_divorced/separated,None,2,real_estate,49,73,none,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,21,Critical_acct_other_credits_existing,business,3652,<100DM,4_to_7yrs,2,male_single,None,3,building_society_savings_agreement/life_insurance,27,249,none,own,2,skilled_employee/official,1,none,yes,0
None,18,Critical_acct_other_credits_existing,new_car,1530,<100DM,1_to_4yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,32,124,bank,own,2,skilled_employee/official,1,none,yes,1
None,48,Existing_credits_paid_till_now,business,3914,Unknown_or_no_savings_acct,1_to_4yrs,4,male_divorced/separated,None,2,real_estate,38,40,bank,own,1,skilled_employee/official,1,none,yes,1
<0DM,12,Existing_credits_paid_till_now,furniture/equipment,1858,<100DM,<1yr,4,female_divorced/separated/married,None,1,car_or_other_nonsavings,22,424,none,rent,1,skilled_employee/official,1,none,yes,0
<0DM,18,Existing_credits_paid_till_now,radio/television,2600,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,65,553,none,for_free,2,skilled_employee/official,1,none,yes,1
None,15,Existing_credits_paid_till_now,radio/television,1979,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,car_or_other_nonsavings,35,73,none,own,1,skilled_employee/official,1,none,yes,0
>200DM,6,Existing_credits_paid_till_now,furniture/equipment,2116,<100DM,1_to_4yrs,2,male_single,None,2,real_estate,41,25,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,9,All_credits_paid_duly,new_car,1437,100_to_500DM,4_to_7yrs,2,male_single,None,3,unknown/no_property,29,193,none,own,1,skilled_employee/official,1,none,yes,1
None,42,Critical_acct_other_credits_existing,furniture/equipment,4042,500_to_1000DM,1_to_4yrs,4,male_single,None,4,real_estate,36,60,none,own,2,skilled_employee/official,1,yes,yes,0
None,9,Existing_credits_paid_till_now,education,3832,Unknown_or_no_savings_acct,>7yrs,1,male_single,None,4,real_estate,64,508,none,own,1,unskilled_resident,1,none,yes,0
<0DM,24,Existing_credits_paid_till_now,radio/television,3660,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,220,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,18,All_credits_paid_duly,furniture/equipment,1553,<100DM,1_to_4yrs,4,male_single,None,3,car_or_other_nonsavings,44,28,bank,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,15,Existing_credits_paid_till_now,radio/television,1444,Unknown_or_no_savings_acct,<1yr,4,male_single,None,1,building_society_savings_agreement/life_insurance,23,385,none,own,1,skilled_employee/official,1,none,yes,0
None,9,Existing_credits_paid_till_now,furniture/equipment,1980,<100DM,<1yr,2,female_divorced/separated/married,co-applicant,2,car_or_other_nonsavings,19,553,none,rent,2,skilled_employee/official,1,none,yes,1
0_to_200DM,24,Existing_credits_paid_till_now,new_car,1355,<100DM,<1yr,3,female_divorced/separated/married,None,4,car_or_other_nonsavings,NA,NA,none,own,1,unskilled_resident,1,yes,yes,1
None,12,Existing_credits_paid_till_now,education,1393,<100DM,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,47,49,bank,own,3,skilled_employee/official,2,yes,yes,0
None,24,Existing_credits_paid_till_now,radio/television,1376,500_to_1000DM,4_to_7yrs,4,female_divorced/separated/married,None,1,car_or_other_nonsavings,28,220,none,own,1,skilled_employee/official,1,none,yes,0
None,60,Delay_in_past,radio/television,15653,<100DM,4_to_7yrs,2,male_single,None,4,car_or_other_nonsavings,NA,NA,none,own,2,skilled_employee/official,1,yes,yes,0
None,12,Existing_credits_paid_till_now,radio/television,1493,<100DM,<1yr,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,2,none,yes,0
<0DM,42,Delay_in_past,radio/television,4370,<100DM,4_to_7yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,26,280,bank,own,2,skilled_employee/official,2,yes,yes,1
<0DM,18,Existing_credits_paid_till_now,education,750,<100DM,unemployed,4,female_divorced/separated/married,None,1,real_estate,27,249,none,own,1,unemployed/unskilled_nonresident,1,none,yes,1
0_to_200DM,15,Existing_credits_paid_till_now,repairs,1308,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,38,40,none,own,2,unskilled_resident,1,none,yes,0
None,15,Existing_credits_paid_till_now,education,4623,100_to_500DM,1_to_4yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,40,28,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
None,24,Critical_acct_other_credits_existing,radio/television,1851,<100DM,4_to_7yrs,4,male_married/widowed,guarantor,2,car_or_other_nonsavings,33,105,none,own,2,skilled_employee/official,1,yes,yes,0
<0DM,18,Critical_acct_other_credits_existing,radio/television,1880,<100DM,4_to_7yrs,4,male_married/widowed,None,1,building_society_savings_agreement/life_insurance,32,124,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
None,36,Delay_in_past,business,7980,Unknown_or_no_savings_acct,<1yr,4,male_single,None,4,car_or_other_nonsavings,27,249,none,rent,2,skilled_employee/official,1,yes,yes,1
<0DM,30,No_credits_taken_or_all_paid,furniture/equipment,4583,<100DM,1_to_4yrs,2,male_divorced/separated,guarantor,2,real_estate,32,124,none,own,2,skilled_employee/official,1,none,yes,0
None,12,Existing_credits_paid_till_now,new_car,1386,500_to_1000DM,1_to_4yrs,2,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,26,280,none,own,1,skilled_employee/official,1,none,yes,1
>200DM,24,Existing_credits_paid_till_now,new_car,947,<100DM,4_to_7yrs,4,male_single,None,3,unknown/no_property,38,40,bank,for_free,1,skilled_employee/official,2,none,yes,1
